dna_code,Host_species,Total _read_count,group,ind_id,full_dataset,reduced_ dataset,Host_species,sex,fa,bm,injection,date,area,Location,Lat,Long,Colony,ring_no,sample_no,comments
BS003,Saccopteryx bilineata,615,G8,220,yes,no,Saccopteryx bilineata,M,45.6,7.9,LPS,29.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,hellblau-gelb,10,NA
BS007,Saccopteryx bilineata,467,G12,218,yes,no,Saccopteryx bilineata,M,46.7,8.7,LPS,29.11.2018,Palo Verde,Brunnen,-85.34997069,10.34729136,C6,gelb-grün,12,NA
BS013,Saccopteryx bilineata,224,G18,203,yes,no,Saccopteryx bilineata,M,46.1,8.6,NA,28.11.2018,Palo Verde,Geierbaum," -85,338241",10.360584,C6,rosa-blau,2,NA
BS020,Saccopteryx bilineata,427,G25,234,yes,no,Saccopteryx bilineata,M,NA,8,NA,30.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rosa-hellgrün,9a,NA
BS024,Saccopteryx bilineata,144,G29,235,yes,no,Saccopteryx bilineata,M,NA,7.9,NA,30.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rot-rosa,7a,NA
BS037,Saccopteryx bilineata,40,G42,224,yes,no,Saccopteryx bilineata,M,45,8.2,PBS,29.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rosa-hellgrün,9,NA
BS040,Saccopteryx bilineata,359,G45,144,yes,no,Saccopteryx bilineata,M,43.8,7.4,NA,17.12.2018,La Gamba,Lab-Clearing,-83.2016691,8.700907853,C3,NA,NA,NA
BS046,Saccopteryx bilineata,101,G51,146,yes,no,Saccopteryx bilineata,F,43,8.5,NA,17.12.2018,La Gamba,Lab-Clearing,-83.2016691,8.700907853,C3,NA,NA,NA
BS065,Saccopteryx bilineata,257,G70,226,yes,no,Saccopteryx bilineata,M,45.3,8.2,PBS,29.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rot-weiss,11,NA
BS069,Saccopteryx bilineata,962,G74,221,yes,no,Saccopteryx bilineata,M,46.2,8.8,LPS,29.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,hellblau-orange,4,NA
BS083,Saccopteryx bilineata,0,G88,239,yes,no,Saccopteryx bilineata,M,47,8.5,NA,02.12.2018,La Gamba,Unser Haus,-83.2016691,8.700907853,C3,R weiss-orange,16,NA
BS084,Saccopteryx bilineata,0,G89,278,yes,no,Saccopteryx bilineata,M,8.3,NA,keine Proben,?,La Gamba,Toilette,-83.2016691,8.700907853,C3,R pink,21,NA
BS102,Saccopteryx bilineata,246,G107,233,yes,no,Saccopteryx bilineata,M,44.1,7.9,NA,30.11.2018,Palo Verde,Brunnen,-85.34997069,10.34729136,C6,pink-lila,14,NA
BS106,Saccopteryx bilineata,862,G111,223,yes,no,Saccopteryx bilineata,M,45,8.8,PBS,29.11.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rosa-grau,5,Repeat of B140
BS033,Saccopteryx bilineata,32421,G38,275,yes,yes,Saccopteryx bilineata,M,45.6,8.3,LPS,13.12.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rot-weiss,11,ad
BS034,Saccopteryx bilineata,22980,G39,257,yes,yes,Saccopteryx bilineata,M,43.8,8,NA,10.12.2018,La Gamba,Cueva Kevin,-83.10522147,8.714371017,C4,NA,27,ad
BS044,Saccopteryx bilineata,107417,G49,274,yes,yes,Saccopteryx bilineata,M,45,8.3,LPS,13.12.2018,Palo Verde,Casa de Coco,-85.25977811,10.33253274,C5,rosa-hellgrün,9,ad
BS051,Saccopteryx bilineata,23940,G56,256,yes,yes,Saccopteryx bilineata,M,44.8,8.8,NA,10.12.2018,La Gamba,Cueva Kevin,-83.10522147,8.714371017,C4,NA,26,ad
BS066,Saccopteryx bilineata,78824,G71,260,yes,yes,Saccopteryx bilineata,M,45.9,8.6,NA,10.12.2018,La Gamba,Cueva Kevin,-83.10522147,8.714371017,C4,NA,30,ad
BS095,Saccopteryx bilineata,210180,G100,259,yes,yes,Saccopteryx bilineata,M,46.7,8.5,NA,10.12.2018,La Gamba,Cueva Kevin,-83.10522147,8.714371017,C4,NA,29,ad
BS134,Saccopteryx bilineata,58228,G139,258,yes,yes,Saccopteryx bilineata,M,44.9,8.4,NA,10.12.2018,La Gamba,Cueva Kevin,-83.10522147,8.714371017,C4,NA,28,ad
